cluster,n_bits,n_active_mols,top_fg,top_fg_enrichment
76,2,39,Halogen (I); Morpholine; Furan; Thiophene; Piperidine,7.71; 5.57; 5.57; 5.06; 2.94
77,5,111,Halogen (F); Furan; Thiophene; Amide; Halogen (Cl),4.24; 3.92; 3.55; 1.62; 1.62
78,5,160,Sulfoxide; Thiophene; Piperidine; Morpholine; Tertiary amine,4.71; 2.47; 2.15; 2.04; 2.01
79,9,404,Indole; Pyrimidine; Sulfoxide; Piperidine; Thiophene,5.77; 4.43; 3.73; 3.03; 2.20
80,8,422,Carboxylic acid; Indole; Sulfoxide; Thiol; Primary amine,5.81; 3.35; 1.79; 1.79; 1.63
81,19,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
82,4,99,Aldehyde; Pyrimidine; Halogen (F); Halogen (I); Cyano,5.60; 3.01; 2.16; 2.02; 2.00
83,9,295,Indole; Piperidine; Hydroxyl (aliphatic); Amide; Tertiary amine,3.10; 2.59; 1.86; 1.72; 1.70
84,15,1006,Sulfonamide; Sulfone; Halogen (F); Thiophene; Aromatic amine,6.02; 5.21; 1.86; 1.57; 1.54
85,3,68,Ketone; Hydroxyl (aliphatic); Cyano; Phenol; Ester,2.03; 1.77; 1.75; 1.65; 1.65
86,9,239,Halogen (I); Aromatic amine; Thiophene; Hydroxyl (aliphatic); Ether,6.71; 2.97; 2.89; 1.61; 1.34
87,4,172,Sulfoxide; Halogen (I); Sulfonamide; Pyridine; Furan,6.58; 4.08; 3.93; 3.22; 2.53
88,4,113,Thiophene; Sulfonamide; Piperazine; Furan; Cyano,5.24; 2.52; 2.00; 1.92; 1.75
89,3,178,Thiophene; Carboxylic acid; Halogen (Cl); Sulfone; Secondary amine,3.32; 2.56; 2.49; 2.46; 1.99
90,6,102,Sulfone; Sulfoxide; Thiophene; Morpholine; Ester,4.29; 3.70; 2.90; 2.13; 2.03
91,6,131,Halogen (I); Sulfone; Indole; Hydroxyl (aliphatic); Ketone,5.35; 4.45; 1.91; 1.44; 1.38
92,21,459,Primary amine; Sulfoxide; Piperidine; Thiophene; Furan,3.55; 2.46; 2.29; 2.15; 1.89
93,16,670,Aldehyde; Pyridine; Sulfoxide; Indole; Piperazine,2.39; 1.75; 1.69; 1.62; 1.55
94,2,80,Sulfoxide; Thioether; Furan; Halogen (I); Nitro group,4.71; 3.24; 2.72; 2.50; 2.47
95,4,104,Thiophene; Morpholine; Sulfoxide; Piperidine; Sulfonamide,8.54; 5.22; 3.63; 3.50; 2.74
96,5,135,Piperazine; Secondary amine; Piperidine; Ether; Ester,3.01; 2.62; 2.41; 2.03; 1.71
97,2,42,Thiophene; Pyrimidine; Sulfonamide; Pyridine; Carboxylic acid,4.70; 3.55; 2.54; 1.94; 1.84
98,2,37,Thiophene; Ester; Aldehyde; Carboxylic acid; Nitro group,5.33; 1.92; 1.67; 1.57; 1.33
99,7,231,Piperazine; Thiol; Halogen (F); Piperidine; Sulfonamide,4.10; 2.72; 2.34; 2.32; 2.00
100,3,68,Furan; Morpholine; Thiol; Sulfonamide; Phenol,3.20; 3.20; 1.85; 1.57; 1.50
101,3,33,Sulfone; Piperidine; Sulfonamide; Pyridine; Ester,4.42; 2.32; 2.16; 1.97; 1.97
102,6,126,Sulfoxide; Furan; Sulfonamide; Piperidine; Halogen (I),2.99; 2.59; 2.54; 2.13; 1.59
103,3,35,Thiol; Primary amine; Halogen (I); Piperazine; Thioether,3.59; 2.91; 2.86; 2.58; 2.02
104,4,73,Halogen (I); Thiophene; Indole; Thioether; Piperidine,4.12; 4.05; 3.42; 2.58; 1.84
105,3,47,Secondary amine; Pyridine; Cyano; Furan; Morpholine,6.11; 2.77; 2.53; 2.31; 2.31
106,4,142,Secondary amine; Piperazine; Benzene ring; Tertiary amine; Pyridine,4.51; 1.59; 1.41; 1.39; 1.38
107,6,214,Pyrimidine; Sulfoxide; Indole; Aromatic amine; Sulfonamide,6.97; 5.29; 3.89; 2.80; 2.66
108,14,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
109,7,251,Sulfoxide; Piperazine; Piperidine; Halogen (F); Pyridine,3.00; 2.88; 2.82; 2.50; 2.07
110,20,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
111,5,258,Morpholine; Furan; Sulfoxide; Halogen (I); Halogen (F),4.21; 2.95; 2.92; 2.33; 2.10
112,10,278,Sulfone; Pyridine; Piperazine; Indole; Pyrimidine,6.29; 2.99; 2.92; 2.70; 2.68
113,13,250,Sulfone; Halogen (F); Indole; Hydroxyl (aliphatic); Pyridine,2.91; 2.28; 2.00; 1.67; 1.63
114,7,346,Furan; Sulfone; Morpholine; Piperidine; Hydroxyl (aliphatic),10.05; 2.53; 1.88; 1.77; 1.64
115,4,109,Pyrimidine; Thioether; Thiol; Morpholine; Ketone,8.21; 2.38; 2.31; 1.99; 1.95
116,3,50,Sulfoxide; Sulfonamide; Thioether; Pyridine; Piperidine,7.54; 4.27; 3.77; 3.58; 3.44
117,7,378,Secondary amine; Indole; Amide; Sulfonamide; Thioether,3.33; 1.98; 1.76; 1.41; 1.37
118,4,60,Morpholine; Thiol; Furan; Piperazine; Sulfone,7.24; 6.29; 5.43; 5.27; 4.86
119,2,62,Furan; Pyridine; Ester; Piperazine; Tertiary amine,3.51; 2.62; 2.57; 2.18; 1.88
120,5,100,Sulfoxide; Sulfonamide; Thiophene; Amide; Thioether,3.77; 2.14; 1.97; 1.97; 1.65
121,7,148,Morpholine; Hydroxyl (aliphatic); Ether; Piperidine; Aldehyde,2.94; 1.90; 1.76; 1.68; 1.67
122,6,151,Halogen (I); Pyrimidine; Thiophene; Thioether; Indole,3.98; 3.95; 3.92; 3.75; 3.31
123,11,387,Sulfone; Piperazine; Sulfonamide; Thiophene; Tertiary amine,5.27; 4.55; 4.23; 3.06; 2.43
124,4,75,Thioether; Primary amine; Sulfone; Carboxylic acid; Ketone,2.20; 2.04; 1.94; 1.68; 1.56
125,3,40,Sulfoxide; Halogen (Br); Thiol; Thiophene; Piperazine,9.43; 3.73; 3.14; 2.47; 2.26
126,10,395,Indole; Piperidine; Thiophene; Sulfone; Piperazine,5.27; 2.33; 2.25; 1.84; 1.83
127,4,95,Sulfoxide; Thiol; Thiophene; Cyano; Halogen (F),7.94; 6.62; 3.11; 2.92; 2.10
128,42,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
129,9,328,Thiophene; Cyano; Halogen (I); Piperidine; Halogen (Cl),3.01; 2.65; 2.44; 2.39; 1.96
130,4,178,Thiophene; Ketone; Piperidine; Ester; Indole,5.54; 2.62; 2.37; 2.36; 2.34
131,2,43,Thioether; Aldehyde; Primary amine; Thiophene; Cyano,6.03; 4.30; 2.37; 2.29; 1.84
132,2,38,Indole; Pyridine; Ester; Hydroxyl (aliphatic); Primary amine,2.19; 2.14; 1.55; 1.51; 1.34
133,6,127,Indole; Thiophene; Morpholine; Sulfoxide; Piperidine,3.93; 3.88; 3.42; 2.97; 2.86
134,3,87,Furan; Ketone; Indole; Tertiary amine; Secondary amine,5.00; 1.95; 1.91; 1.85; 1.52
135,9,286,Thioether; Morpholine; Sulfonamide; Thiophene; Pyridine,3.38; 3.04; 2.49; 2.41; 1.71
136,18,574,Pyrimidine; Thiophene; Indole; Thioether; Halogen (I),5.71; 3.09; 2.76; 2.14; 1.92
137,2,25,Furan; Thiophene; Pyridine; Ketone; Primary amine,4.35; 3.95; 3.25; 2.97; 2.04
138,3,106,Sulfonamide; Secondary amine; Piperazine; Indole; Carboxylic acid,4.03; 3.75; 3.41; 3.14; 2.10
139,12,2383,Halogen (Cl); Phenol; Nitro group; Piperazine; Halogen (F),2.68; 1.69; 1.63; 1.61; 1.55
140,19,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
141,2,27,Pyrimidine; Halogen (Br); Furan; Halogen (I); Halogen (F),5.52; 4.14; 4.02; 3.71; 3.17
142,3,108,Ketone; Indole; Nitro group; Sulfone; Piperidine,3.93; 3.08; 2.74; 2.70; 2.66
143,5,79,Furan; Sulfone; Aldehyde; Halogen (I); Cyano,8.25; 3.69; 3.12; 2.54; 2.00
144,7,96,Thiophene; Cyano; Indole; Halogen (I); Aldehyde,4.11; 2.89; 2.60; 2.09; 1.93
145,17,537,Sulfoxide; Sulfonamide; Pyridine; Halogen (F); Sulfone,2.81; 2.79; 2.27; 2.12; 1.90
146,5,95,Thiophene; Furan; Piperidine; Hydroxyl (aliphatic); Pyrimidine,4.15; 3.43; 2.62; 1.63; 1.57
147,16,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
148,14,382,Thiophene; Tertiary amine; Cyano; Aldehyde; Sulfone,2.32; 2.09; 1.97; 1.94; 1.91
149,2,34,Morpholine; Thiophene; Thioether; Piperidine; Halogen (Br),9.59; 2.90; 2.77; 2.25; 2.19
150,3,74,Aldehyde; Pyridine; Halogen (F); Indole; Cyano,4.17; 2.86; 2.50; 2.25; 2.14
151,2,47,Furan; Halogen (I); Thioether; Secondary amine; Sulfone,4.62; 4.26; 3.51; 3.29; 3.10
152,3,76,Pyridine; Thiophene; Thioether; Amide; Cyano,3.85; 2.60; 2.48; 2.09; 1.56
153,2,50,Halogen (I); Tertiary amine; Secondary amine; Nitro group; Thioether,6.01; 2.33; 2.21; 1.97; 1.89
154,5,300,Pyrimidine; Morpholine; Sulfonamide; Thiophene; Piperazine,2.98; 2.90; 2.37; 2.30; 2.11
155,3,115,Sulfone; Thiophene; Primary amine; Sulfonamide; Piperazine,5.07; 3.43; 2.21; 2.17; 1.96
156,2,25,Sulfoxide; Morpholine; Piperazine; Indole; Pyridine,15.08; 8.69; 3.61; 3.33; 3.25
157,2,30,Morpholine; Piperidine; Aldehyde; Halogen (I); Halogen (F),7.24; 4.47; 4.11; 3.34; 3.32
158,3,45,Pyrimidine; Sulfone; Sulfonamide; Aromatic amine; Thioether,6.63; 3.24; 3.17; 3.16; 3.14
159,2,21,Thiol; Aldehyde; Halogen (Br); Amide; Aromatic amine,5.99; 5.87; 5.32; 2.60; 2.26
160,11,486,Halogen (Br); Ester; Piperidine; Hydroxyl (aliphatic); Primary amine,2.68; 1.87; 1.69; 1.65; 1.62
161,2,14,Primary amine; Phenol; Piperazine; Carboxylic acid; Piperidine,9.09; 5.11; 3.22; 2.77; 2.73
162,3,84,Indole; Aldehyde; Pyridine; Furan; Thiophene,3.96; 2.94; 2.71; 2.59; 2.35
163,3,64,Morpholine; Secondary amine; Thiophene; Indole; Hydroxyl (aliphatic),5.09; 3.45; 3.08; 2.60; 2.06
164,2,42,Secondary amine; Piperidine; Thioether; Sulfonamide; Indole,5.79; 5.01; 2.81; 2.54; 1.98
165,4,53,Aldehyde; Furan; Thiophene; Indole; Pyridine,9.30; 2.05; 1.86; 1.57; 1.54
166,6,161,Sulfone; Thiophene; Sulfonamide; Pyridine; Thioether,14.48; 3.06; 2.65; 1.92; 1.90
167,6,231,Indole; Sulfone; Thioether; Aldehyde; Piperidine,2.88; 2.52; 2.45; 2.13; 1.99
168,79,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
169,8,265,Pyridine; Thioether; Indole; Halogen (F); Piperidine,3.19; 2.22; 1.89; 1.88; 1.66
170,6,460,Piperazine; Tertiary amine; Piperidine; Thiophene; Indole,3.83; 3.33; 3.16; 2.79; 2.17
171,2,29,Primary amine; Morpholine; Thiophene; Thioether; Tertiary amine,4.39; 3.75; 3.40; 3.25; 2.47
172,4,123,Primary amine; Piperazine; Furan; Morpholine; Pyridine,5.38; 1.84; 1.77; 1.77; 1.72
173,4,94,Indole; Aldehyde; Secondary amine; Thiophene; Piperidine,2.66; 2.62; 2.12; 2.10; 2.04
174,2,24,Thiophene; Indole; Nitro group; Sulfonamide; Amide,4.11; 3.47; 3.08; 2.97; 2.05
175,9,491,Furan; Pyrimidine; Thiophene; Cyano; Thioether,3.54; 1.82; 1.81; 1.61; 1.58
176,5,382,Indole; Pyridine; Carboxylic acid; Amide; Halogen (F),2.83; 2.51; 2.21; 2.06; 1.94
177,4,76,Aromatic amine; Pyridine; Tertiary amine; Sulfone; Halogen (Br),3.95; 2.14; 2.00; 1.92; 1.47
178,2,33,Thiol; Thiophene; Cyano; Indole; Pyridine,7.62; 5.98; 4.80; 2.52; 2.47
179,3,35,Piperazine; Thioether; Halogen (I); Thiophene; Indole,3.87; 3.37; 2.86; 2.82; 2.38
180,5,235,Sulfoxide; Ester; Thioether; Primary amine; Cyano,3.21; 2.44; 1.91; 1.84; 1.68
181,4,148,Indole; Thioether; Ketone; Piperidine; Thiophene,5.06; 4.94; 2.15; 2.07; 2.00
182,2,67,Sulfoxide; Aromatic amine; Halogen (I); Pyridine; Halogen (Br),11.26; 9.90; 4.49; 3.40; 3.34
183,7,212,Piperidine; Thiophene; Tertiary amine; Halogen (F); Amide,4.60; 3.26; 3.04; 2.28; 2.01
184,7,246,Pyrimidine; Piperazine; Furan; Pyridine; Secondary amine,6.67; 4.59; 2.65; 2.32; 2.25
185,3,67,Thiophene; Phenol; Aromatic amine; Halogen (Br); Sulfone,2.94; 2.90; 2.59; 2.23; 2.17
186,3,147,Ketone; Sulfonamide; Thioether; Sulfone; Piperazine,2.96; 2.18; 2.08; 1.98; 1.84
