task,cluster,n_bits,mean_rank,rank_std,n_seeds,n_active_mols,top_fg,top_fg_enrichment
NR-PPAR-gamma,23,30,6.4,3.361547262794322,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
NR-PPAR-gamma,46,13,8.8,10.329569206893384,5,637,Indole; Thiophene; Secondary amine; Primary amine; Piperidine,6.01; 2.32; 1.94; 1.80; 1.77
NR-PPAR-gamma,140,19,12.2,6.300793600809347,5,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
NR-PPAR-gamma,15,26,12.8,3.7013511046643495,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
NR-PPAR-gamma,0,20,16.6,4.277849927241488,5,1323,Aldehyde; Furan; Ester; Ether; Cyano,4.85; 2.55; 1.65; 1.32; 1.26
NR-PPAR-gamma,7,33,19.0,12.186057606953941,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
NR-PPAR-gamma,70,27,19.8,15.990622251807464,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
NR-PPAR-gamma,33,17,22.6,10.96813566655701,5,695,Indole; Sulfoxide; Halogen (F); Ether; Ester,2.52; 2.17; 1.58; 1.53; 1.46
NR-PPAR-gamma,74,19,23.4,13.95707705789432,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
NR-PPAR-gamma,31,20,23.8,7.014271166700073,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
NR-PPAR-gamma,56,17,23.8,17.21046193453273,5,726,Thiophene; Sulfonamide; Ketone; Sulfoxide; Halogen (I),2.45; 2.31; 2.24; 2.08; 1.93
NR-PPAR-gamma,22,13,24.0,7.968688725254614,5,392,Furan; Thioether; Thiophene; Morpholine; Sulfonamide,3.05; 2.59; 2.26; 2.22; 2.00
NR-PPAR-gamma,6,18,24.8,12.891857895586657,5,1359,Indole; Piperidine; Pyridine; Piperazine; Furan,4.72; 2.52; 2.42; 2.39; 2.24
NR-PPAR-gamma,10,17,25.4,14.570518178843194,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
NR-PPAR-gamma,110,20,26.0,12.469963913339926,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
NR-PPAR-gamma,62,24,26.6,15.533834040570925,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-PPAR-gamma,81,19,27.0,14.882876066137216,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
NR-PPAR-gamma,129,9,30.0,14.866068747318506,5,328,Thiophene; Cyano; Halogen (I); Piperidine; Halogen (Cl),3.01; 2.65; 2.44; 2.39; 1.96
NR-PPAR-gamma,24,21,32.4,7.987490219086343,5,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
NR-PPAR-gamma,49,17,34.0,16.852299546352718,5,513,Aldehyde; Sulfoxide; Indole; Furan; Primary amine,2.40; 2.21; 2.11; 1.91; 1.83
SR-ARE,168,79,0.0,0.0,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
SR-ARE,63,51,1.4,0.5477225575051662,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
SR-ARE,128,42,2.0,1.0,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
SR-ARE,23,30,3.8,1.3038404810405297,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
SR-ARE,29,39,6.2,3.7013511046643495,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
SR-ARE,15,26,6.4,4.722287581247038,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
SR-ARE,110,20,11.4,4.33589667773576,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
SR-ARE,21,13,12.6,6.6558245169174945,5,338,Sulfoxide; Furan; Indole; Secondary amine; Piperidine,4.46; 2.57; 2.46; 2.16; 2.04
SR-ARE,31,20,13.0,5.65685424949238,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
SR-ARE,140,19,13.2,5.449770637375485,5,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
SR-ARE,145,17,14.4,9.370165420097983,5,537,Sulfoxide; Sulfonamide; Pyridine; Halogen (F); Sulfone,2.81; 2.79; 2.27; 2.12; 1.90
SR-ARE,81,19,15.8,13.809417076763232,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
SR-ARE,10,17,16.4,7.127411872482185,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
SR-ARE,147,16,16.6,12.177848742696717,5,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
SR-ARE,62,24,17.8,7.362064927722384,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
SR-ARE,92,21,20.4,5.366563145999495,5,459,Primary amine; Sulfoxide; Piperidine; Thiophene; Furan,3.55; 2.46; 2.29; 2.15; 1.89
SR-ARE,33,17,24.6,13.352902306240393,5,695,Indole; Sulfoxide; Halogen (F); Ether; Ester,2.52; 2.17; 1.58; 1.53; 1.46
SR-ARE,136,18,24.8,14.11382301150188,5,574,Pyrimidine; Thiophene; Indole; Thioether; Halogen (I),5.71; 3.09; 2.76; 2.14; 1.92
SR-ARE,7,33,25.6,9.633275663033837,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
SR-ARE,24,21,26.8,14.446452851824906,5,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
SR-ARE,56,17,27.4,15.485477067239485,5,726,Thiophene; Sulfonamide; Ketone; Sulfoxide; Halogen (I),2.45; 2.31; 2.24; 2.08; 1.93
SR-ARE,84,15,30.4,6.542170893518451,5,1006,Sulfonamide; Sulfone; Halogen (F); Thiophene; Aromatic amine,6.02; 5.21; 1.86; 1.57; 1.54
SR-ARE,70,27,30.4,8.384509526501834,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
