cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
263,6,Carboxylic acid / Ester,HB-donor-rich; flat/aromatic; flexible,Carboxylic acid; Ester; Ether; Halogen (F); Halogen (Cl),[#8]-[#6](=[#8])-[#6](:[#6]:[#6]):[#6](:[#6])-[#8]; [#8]=[#6](-[#8])-[#6](:[#6]:[#6]):[#6](:[#6])-[#8]; [#6]-[#6](:[#6]:[#6](:[#6])-[#6]):[#6],Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,344.4,1.5,3,5,93.8,2,0.32,64.65
264,3,Amide / Tertiary amine,low-MW fragment,Amide; Tertiary amine; Ether; Halogen (F),[#6]-[#7](-[#6])-[#6](=[#8])-[#7]-[#6]; [#6]:[#6](:[#6]:[#6](-[#8]):[#6]):[#6]; [#6]-[#7]-[#6](=[#8])-[#7](-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,124.33333333333333
265,1,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Amide,[#6]-[#8]-[#6]-[#6]-[#8]; [#8]-[#6]-[#6]-[#8]-[#6]; [#8]=[#6](-[#6]-[#7](:[#6]):[#6])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,252.83333333333334
266,1,Primary amine,low-MW fragment,Primary amine,[#6]-[#6](:[#6]):[#6](:[#6](:[#7H]):[#6]):[#6]:[#6]; [#7]-[#6](-[#6](:[#6]:[#6]):[#6]:[#6])(-[#6])-[#6]; [#6]:[#6](:[#6]):[#7](:[#6](:[#7]):[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,298.35
267,2,Hydroxyl (aliphatic) / Amide,low-MW fragment,Hydroxyl (aliphatic); Amide,[#6]-[#7](:[#6](=[#8]):[#6](:[#6]):[#7]):[#6]; [#8]-[#15](=[#16])(-[#8])-[#6]; [#8]-[#6](=[#6])-[#6]-[#6@@H](-[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,186.95
268,4,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Halogen (Cl); Nitro group; Halogen (Br),[#6]-[#6](:[#6]):[#7]:[#6](:[#6]):[#6]; [#6]-[#6](-[#8]-[#6](-[#6])-[#6])-[#6]; [#6]:[#7]:[#6](-[#17]):[#6](-[#17]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,166.58333333333334
269,4,Primary amine / Halogen (I),low-MW fragment,Primary amine; Halogen (I); Ether; Halogen (F),[#6]-[#7]; [#7]-[#6]; [#6]-[#7]-[#6](:[#6](-[#53]):[#6]):[#6](:[#6])-[#53],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,96.91666666666667
270,4,Primary amine / Amide,low-MW fragment,Primary amine; Amide; Hydroxyl (aliphatic); Carboxylic acid; Tertiary amine,[#7]-[#6@H]; [#7]-[#6@@H]; [#6]-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,77.41666666666667
271,3,Ether / Halogen (F),low-MW fragment,Ether; Halogen (F); Nitro group; Amide; Sulfonamide,[#6]:[#6]:[#6](-[#6]):[#6](-[#8]):[#6]; [#6]-[#8]-[#6](-[#6]-[#6])-[#6]-[#6]; [#6]-[#6]-[#6]-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,239.95
272,1,Ketone / Ether,low-MW fragment,Ketone; Ether,[#6]-[#6](=[#8])-[#6]; [#6]-[#6]-[#6]-[#8]-[#15]; [#6]:[#6](-[#8]-[#6]-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,220.83333333333334
273,2,Ketone / Primary amine,low-MW fragment,Ketone; Primary amine; Hydroxyl (aliphatic); Thiol; Halogen (F),[#6]-[#6](=[#8])-[#6]; [#8]=[#6](-[#6])-[#6]; [#7]-[#6](-[#6]-[#6]-[#16])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,153.65
274,2,Halogen (Cl) / Hydroxyl (aliphatic),low-MW fragment,Halogen (Cl); Hydroxyl (aliphatic),[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17]; [#6]=[#6]-[#6@@H](-[#8])-[#6]-[#6@@H]; [#6]:[#6](-[#6]):[#6](-[#17]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,197.2
275,2,Tertiary amine / Hydroxyl (aliphatic),low-MW fragment,Tertiary amine; Hydroxyl (aliphatic); Ester; Ether; Halogen (I),[#8]-[#6]-[#6]-[#7](-[#6])-[#6]; [#6]-[#8]-[#6](=[#8])-[#6](:[#6]):[#6]; [#6]#[#6]-[#53],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,226.85
276,8,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Thiol; Nitro group; Amide,[#6]-[#6](-[#6])(-[#8]-[#6@H](-[#6])-[#6@])-[#8]; [#16]-[#6](:[#6]):[#8]; [#7]=[#6](-[#6]-[#8]-[#6])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,141.91666666666666
277,1,Ketone / Thioether,low-MW fragment,Ketone; Thioether,[#6]:[#6](-[#6](=[#8])-[#6]-[#6]):[#6]; [#6]-[#6]-[#6]-[#6]-[#6]; [#6]-[#16]-[#6]-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,267.6
278,2,Thiol / Amide,low-MW fragment,Thiol; Amide; Halogen (Cl),[#8]:[#6](=[#8]):[#8]; [#6]-[#8]-[#16]; [#6]-[#7]-[#6](=[#8])-[#6]-[#17],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,189.06666666666666
279,2,Hydroxyl (aliphatic) / Secondary amine,low-MW fragment,Hydroxyl (aliphatic); Secondary amine,[#8]-[#6](-[#6])(-[#6])-[#6]; [#6]:[#6](-[#6]-[#7]-[#6]):[#6]; [#6]-[#6](-[#6])=[#6]-[#6]-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,232.81666666666666
280,3,Carboxylic acid / Halogen (Cl),low-MW fragment,,[#6]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6]; [#6]:[#6]:[#6](-[#6]):[#6](-[#6]):[#6]; [#6]-[#7](:[#16]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,167.93333333333334
281,1,Carboxylic acid / Halogen (Cl),low-MW fragment,,[#6]-[#6]-[#6]; [#6]-[#6](:[#6]:[#6](-[#7+]):[#6]):[#6]; [#6]-[#8]-[#16](=[#8])(=[#8])-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,272.23333333333335
282,3,Amide / Primary amine,low-MW fragment,Amide; Primary amine; Thioether; Sulfonamide; Ether,[#6]:[#6]:[#6](-[#16](=[#8])(=[#8])-[#8]):[#6]:[#6]; [#8]=[#6](:[#7H]):[#8]; [#7]-[#6]-[#6]-[#16]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,245.63333333333333
283,2,Ether / Nitro group,low-MW fragment,Ether; Nitro group; Hydroxyl (aliphatic); Halogen (Cl); Ketone,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#7+](=[#8])-[#8-]; [#6]-[#6](-[#6])(-[#6])-[#6]-[#8]-[#6]; [#7+]-[#6]-[#6](-[#6]-[#8])-[#8]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,206.23333333333332
284,2,Amide / Secondary amine,low-MW fragment,Amide; Secondary amine; Halogen (Br),[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#6]-[#6]; [#6]-[#6]-[#6](:[#6]:[#6]):[#6](:[#6])-[#7]; [#7]-[#6](=[#8])-[#8]-[#7]=[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,222.25
285,1,Primary amine / Halogen (Cl),low-MW fragment,Primary amine; Halogen (Cl); Amide,[#7]-[#6](-[#6])(-[#6])-[#6]; [#6]=[#6]-[#17]; [#6](-[#6@H])(=[#8])-[#7]-[#6@H](-[#6@@H])-[#6@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,253.21666666666667
286,2,Primary amine / Carboxylic acid,low-MW fragment,Primary amine; Carboxylic acid; Sulfonamide,[#7]-[#6]-[#6](=[#8])-[#8]; [#8]=[#6](-[#8])-[#6]-[#7]; [#7]:[#6](-[#16](=[#8])(=[#8])-[#7]-[#6]):[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,205.9
287,8,Primary amine / Thiol,low-MW fragment,Primary amine; Thiol; Thioether; Ether; Tertiary amine,[#6]:[#6]:[#6]:[#6](-[#7]):[#6]; [#7]-[#6](:[#6]:[#6]:[#6]):[#6]; [#7]-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,18.333333333333332
288,2,Hydroxyl (aliphatic) / Amide,low-MW fragment,Hydroxyl (aliphatic); Amide,[#6]:[#6]:[#6](-[#16](=[#8])(=[#8])-[#8]):[#6]:[#6]; [#8]=[#16](=[#8])(-[#8])-[#6](:[#6]:[#6]):[#6]:[#6]; [#6]-[#6](-[#8])-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,198.05
289,2,Ether / Ester,low-MW fragment,Ether; Ester,[#6]:[#6]:[#6](-[#6](-[#6])-[#6]):[#6]:[#6]; [#6](-[#6@H])(=[#8])-[#8]-[#6@@H](-[#6])-[#6@@H]; [#6]-[#6]-[#6](:[#6]:[#6]):[#6](:[#6])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,209.05
290,10,Carboxylic acid / Ketone,HB-donor-rich; flat/aromatic; flexible,Carboxylic acid; Ketone; Halogen (F); Halogen (Br); Thiol,[#6]:[#6](=[#8]):[#6](-[#6](=[#8])-[#8]):[#6]:[#7]; [#7]:[#6]:[#6](-[#6](=[#8])-[#8]):[#6](=[#8]):[#6]; [#8]=[#6](-[#8])-[#6](:[#6]:[#7]):[#6](:[#6])=[#8],Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,344.4,1.5,3,5,93.8,2,0.32,62.05
291,2,Carboxylic acid / Halogen (Cl),low-MW fragment,,[#6]-[#6](:[#6]:[#6]):[#6](:[#6])-[#7]; [#8]-[#6](:[#6]):[#6](:[#6]:[#6])-[#8]; [#6]-[#6]-[#7](:[#6]:[#7]):[#7]:[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,156.35
292,3,Hydroxyl (aliphatic) / Tertiary amine,low-MW fragment,Hydroxyl (aliphatic); Tertiary amine,[#6]-[#7](-[#6]-[#8])-[#6]; [#6]-[#7](:[#7]:[#6]:[#6]):[#6]; [#6]-[#6](-[#6])(-[#6]-[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,178.73333333333332
293,3,Ketone / Ester,HB-donor-rich; flat/aromatic; flexible,Ketone; Ester; Ether; Hydroxyl (aliphatic),[#6]-[#6](=[#8])-[#6]; [#8]=[#6](-[#6])-[#6]; [#6]-[#6]=[#6]-[#6](=[#7+])-[#6],Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,344.4,1.5,3,5,93.8,2,0.32,100.63333333333334
294,2,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Primary amine; Carboxylic acid,[#7]-[#6@@H](-[#6]-[#6]-[#6@@H])-[#6]; [#8]-[#6@](-[#6])(-[#6@H](-[#6])-[#6]-[#6@H])-[#8]; [#6]-[#16]-[#7](-[#6]-[#6])-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,277.25
295,2,Halogen (Cl) / Amide,low-MW fragment,Halogen (Cl); Amide; Thiol; Ester; Ether,[#6]-[#6]-[#6]; [#6]-[#8]-[#15](=[#8])(-[#8])-[#8]; [#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,184.5
296,10,Primary amine / Carboxylic acid,low-MW fragment,Primary amine; Carboxylic acid; Hydroxyl (aliphatic); Halogen (I); Halogen (F),[#7+]-[#6]-[#6]; [#6]-[#6]-[#6]-[#7+](-[#6])(-[#6])-[#6]; [#6]-[#6](=[#8])-[#8-],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,73.48333333333333
297,1,Carboxylic acid / Halogen (Cl),low-MW fragment,,[#6]-[#6](=[#6])-[#6@@H]1-[#6]-[#6@@H]-[#6]-1(-[#6])-[#6]; [#6]=[#7]-[#6]-[#6](:[#6]):[#6]; [#6]-[#6](-[#6])-[#6]-[#6](-[#6])(-[#6@@H])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,221.7
298,4,Primary amine / Halogen (Br),low-MW fragment,Primary amine; Halogen (Br); Ketone; Halogen (F); Tertiary amine,[#6]:[#6](-[#8]):[#6]:[#6](-[#6@H]):[#6]; [#6]-[#6](=[#8])/[#6](-[#35])=[#6]\[#6]; [#6]:[#6](-[#8]):[#6]:[#6](-[#6@@H]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,179.23333333333332
299,7,Amide / Ester,low-MW fragment,Amide; Ester; Ether; Halogen (Cl); Carboxylic acid,[#6]-[#6](-[#17])-[#17]; [#6]:[#6]:[#6](:[#6]:[#6]):[#6](:[#7]):[#6]; [#7]:[#6](:[#6](:[#6]:[#6]):[#6]:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,99.96666666666667
