cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
157,2,Halogen (Cl) / Hydroxyl (aliphatic),low-MW fragment,Halogen (Cl); Hydroxyl (aliphatic); Primary amine,[#17]-[Si](-[#17])(-[#6](:[#6]):[#6])-[#6](:[#6]):[#6]; [#6]-[#8]-[#15](=[#16])(-[#17])-[#8]; [#8]-[#15](=[#16])(-[#17])-[#8]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,258.98333333333335
158,3,Hydroxyl (aliphatic) / Secondary amine,low-MW fragment,Hydroxyl (aliphatic); Secondary amine; Ester; Ether,[#6]-[#6]-[#6](-[#6](:[#6]):[#7H])(-[#6]-[#6])-[#6]-[#6]; [#6]-[Si](-[#6])(-[#6]-[#6]-[#6])-[#8]; [#8]-[Si](-[#6])(-[#6])-[#6]-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,222.13333333333333
159,2,Hydroxyl (aliphatic) / Secondary amine,low-MW fragment,Hydroxyl (aliphatic); Secondary amine; Primary amine; Halogen (Br); Ketone,[#6]-[#6]-[#7]-[#6](:[#6]):[#6]; [#6]-[#7]-[#6@H](-[#6@@H](-[#6])-[#8])-[#6@H](-[#6@@H])-[#8]; [#7]-[#6]-[#6]-[#7](:[#7]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,216.13333333333333
160,11,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Ester; Halogen (Br); Tertiary amine,[#6]-[#6]-[#8]-[#6](=[#8])-[#6]; [#6]-[#6](=[#8])-[#8]-[#6]-[#6]; [#6]-[#6]-[#6](-[#6]-[#6])-[#6]-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,68.36666666666666
161,2,Primary amine / Sulfonamide,low-MW fragment,Primary amine; Sulfonamide; Hydroxyl (aliphatic); Ketone; Amide,[#6]-[#6@](-[#7])(-[#6]-[#6](:[#6]):[#6])-[#6]; [#6]=[#6](-[#6])-[#7](-[#6](:[#6]):[#6])-[#16](=[#8])(=[#8])-[#6]; [#6]-[#6@@](-[#6])(-[#7])-[#6]-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,242.73333333333332
162,3,Thioether / Hydroxyl (aliphatic),low-MW fragment,Thioether; Hydroxyl (aliphatic); Ether; Halogen (Cl); Primary amine,[#7]-[#6](:[#6]:[#6]:[#7]):[#6]; [#6]-[#6@H](-[#6@@H])-[#6]-[#6@@H](-[#6])-[#6]; [#6]-[#6](:[#6]:[#6]):[#16]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,152.06666666666666
163,3,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Ketone; Amide,[#8]-[#6](:[#6]):[#6](:[#6]:[#6])-[#8]-[#6]; [#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#8]; [#6]-[#6]-[#8]-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,184.36666666666667
164,2,Secondary amine / Carboxylic acid,low-MW fragment,Secondary amine; Carboxylic acid; Ketone; Thiol; Ether,[#8]-[#6](=[#8])-[#6]-[#6](=[#8])-[#6]; [#6]-[#6]-[#7]-[#16]; [#8](-[#6@H](-[#6@@H])-[#6@@H])-[#6]-[#6@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,252.88333333333333
165,4,Halogen (Cl) / Aldehyde,low-MW fragment,Halogen (Cl); Aldehyde; Ether; Amide; Primary amine,[#6]-[#6]=[#8]; [#6]-[#8]-[#6](-[#6])(-[#6])-[#6]; [#6]-[#6]-[#6](-[#6])(-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,199.81666666666666
166,6,Sulfone / Hydroxyl (aliphatic),low-MW fragment,Sulfone; Hydroxyl (aliphatic); Thiol; Amide; Thioether,[#6]-[#6](-[#8])-[#6]; [#8]-[#6@@H](-[#6@@H])-[#6]; [#8]-[#6@@H](-[#6@H])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,114.0
